date,equity,cash,returns,drawdown
2015-05-11,100000,100000,0,0
2015-05-12,100000,100000,0,0
2015-05-13,100000,100000,0,0
2015-05-14,100000,100000,0,0
2015-05-15,100000,100000,0,0
2015-05-18,100000,100000,0,0
2015-05-19,100000,100000,0,0
2015-05-20,100000,100000,0,0
2015-05-21,100000,100000,0,0
2015-05-22,100000,100000,0,0
2015-05-26,100000,100000,0,0
2015-05-27,100000,100000,0,0
2015-05-28,100000,100000,0,0
2015-05-29,100000,100000,0,0
2015-06-01,100000,100000,0,0
2015-06-02,100000,100000,0,0
2015-06-03,100000,100000,0,0
2015-06-04,100000,100000,0,0
2015-06-05,100000,100000,0,0
2015-06-08,100000,100000,0,0
2015-06-09,100000,100000,0,0
2015-06-10,100000,100000,0,0
2015-06-11,100000,100000,0,0
2015-06-12,100000,100000,0,0
2015-06-15,100000,100000,0,0
2015-06-16,100000,100000,0,0
2015-06-17,100000,100000,0,0
2015-06-18,100000,100000,0,0
2015-06-19,100000,100000,0,0
2015-06-22,100000,100000,0,0
2015-06-23,100000,100000,0,0
2015-06-24,100000,100000,0,0
2015-06-25,100000,100000,0,0
2015-06-26,100000,100000,0,0
2015-06-29,100000,100000,0,0
2015-06-30,100000,100000,0,0
2015-07-01,100000,100000,0,0
2015-07-02,100000,100000,0,0
2015-07-06,100000,100000,0,0
2015-07-07,100000,100000,0,0
2015-07-08,100000,100000,0,0
2015-07-09,100000,100000,0,0
2015-07-10,100000,100000,0,0
2015-07-13,100000,100000,0,0
2015-07-14,100000,100000,0,0
2015-07-15,100000,100000,0,0
2015-07-16,100000,100000,0,0
2015-07-17,100000,100000,0,0
2015-07-20,100000,100000,0,0
2015-07-21,100000,100000,0,0
2015-07-22,100000,100000,0,0
2015-07-23,100000,100000,0,0
2015-07-24,100000,100000,0,0
2015-07-27,100000,100000,0,0
2015-07-28,100000,100000,0,0
2015-07-29,100000,100000,0,0
2015-07-30,100000,100000,0,0
2015-07-31,100000,100000,0,0
2015-08-03,100000,100000,0,0
2015-08-04,100000,100000,0,0
2015-08-05,100000,100000,0,0
2015-08-06,100000,100000,0,0
2015-08-07,100000,100000,0,0
2015-08-10,100000,100000,0,0
2015-08-11,100000,100000,0,0
2015-08-12,100000,100000,0,0
2015-08-13,100000,100000,0,0
2015-08-14,100000,100000,0,0
2015-08-17,100000,100000,0,0
2015-08-18,100000,100000,0,0
2015-08-19,100000,100000,0,0
2015-08-20,100000,100000,0,0
2015-08-21,100000,100000,0,0
2015-08-24,100000,100000,0,0
2015-08-25,100000,100000,0,0
2015-08-26,100000,100000,0,0
2015-08-27,100000,100000,0,0
2015-08-28,100000,100000,0,0
2015-08-31,100000,100000,0,0
2015-09-01,100000,100000,0,0
2015-09-02,100000,100000,0,0
2015-09-03,100000,100000,0,0
2015-09-04,100000,100000,0,0
2015-09-08,100000,100000,0,0
2015-09-09,100000,100000,0,0
2015-09-10,100000,100000,0,0
2015-09-11,100000,100000,0,0
2015-09-14,100000,100000,0,0
2015-09-15,100000,100000,0,0
2015-09-16,100000,100000,0,0
2015-09-17,100000,100000,0,0
2015-09-18,100000,100000,0,0
2015-09-21,100000,100000,0,0
2015-09-22,100000,100000,0,0
2015-09-23,100000,100000,0,0
2015-09-24,100000,100000,0,0
2015-09-25,100000,100000,0,0
2015-09-28,100000,100000,0,0
2015-09-29,100000,100000,0,0
2015-09-30,100000,100000,0,0
2015-10-01,100000,100000,0,0
2015-10-02,100000,100000,0,0
2015-10-05,100000,100000,0,0
2015-10-06,100000,100000,0,0
2015-10-07,100000,100000,0,0
2015-10-08,100000,100000,0,0
2015-10-09,100000,100000,0,0
2015-10-12,100000,100000,0,0
2015-10-13,100000,100000,0,0
2015-10-14,100000,100000,0,0
2015-10-15,100000,100000,0,0
2015-10-16,100000,100000,0,0
2015-10-19,100000,100000,0,0
2015-10-20,100000,100000,0,0
2015-10-21,100000,100000,0,0
2015-10-22,100000,100000,0,0
2015-10-23,100000,100000,0,0
2015-10-26,100000,100000,0,0
2015-10-27,100000,100000,0,0
2015-10-28,100000,100000,0,0
2015-10-29,100000,100000,0,0
2015-10-30,100000,100000,0,0
2015-11-02,100000,100000,0,0
2015-11-03,100000,100000,0,0
2015-11-04,100000,100000,0,0
2015-11-05,100000,100000,0,0
2015-11-06,100000,100000,0,0
2015-11-09,100000,100000,0,0
2015-11-10,100000,100000,0,0
2015-11-11,100000,100000,0,0
2015-11-12,100000,100000,0,0
2015-11-13,100000,100000,0,0
2015-11-16,100000,100000,0,0
2015-11-17,100000,100000,0,0
2015-11-18,100000,100000,0,0
2015-11-19,100000,100000,0,0
2015-11-20,100000,100000,0,0
2015-11-23,100000,100000,0,0
2015-11-24,100000,100000,0,0
2015-11-25,100000,100000,0,0
2015-11-27,100000,100000,0,0
2015-11-30,100000,100000,0,0
2015-12-01,100000,100000,0,0
2015-12-02,100000,100000,0,0
2015-12-03,100000,100000,0,0
2015-12-04,100000,100000,0,0
2015-12-07,100000,100000,0,0
2015-12-08,100000,100000,0,0
2015-12-09,100000,100000,0,0
2015-12-10,100000,100000,0,0
2015-12-11,100000,100000,0,0
2015-12-14,100000,100000,0,0
2015-12-15,100000,100000,0,0
2015-12-16,100000,100000,0,0
2015-12-17,100000,100000,0,0
2015-12-18,100000,100000,0,0
2015-12-21,100000,100000,0,0
2015-12-22,100000,100000,0,0
2015-12-23,100000,100000,0,0
2015-12-24,100000,100000,0,0
2015-12-28,100000,100000,0,0
2015-12-29,100000,100000,0,0
2015-12-30,100000,100000,0,0
2015-12-31,100000,100000,0,0
2016-01-04,100000,100000,0,0
2016-01-05,99668.4114702345415,312.8636442345415,-0.003315885297654585,-0.003315885297654585
2016-01-06,100099.1026512345415,312.8636442345415,0.004321240548000744510712237,0
2016-01-07,99206.5027482345415,312.8636442345415,-0.0089171618861559434128385986,-0.0089171618861559434128385986
2016-01-08,96964.1566962345415,312.8636442345415,-0.0226028132217361560880768623,-0.0313184221633113322232651641
2016-01-11,97681.0811532345415,312.8636442345415,0.007393705895323283853300868,-0.0241562754705691467599400139
2016-01-12,99325.9785102345415,312.8636442345415,0.016839467147375365067546939,-0.0077235871303833802266225991
2016-01-13,94132.8100842345415,312.8636442345415,-0.0522840902641084608937654311,-0.0596038566678041700245306249
2016-01-14,95566.2064802345415,312.8636442345415,0.015227383467223897123582253,-0.0452840839821863769628358967
2016-01-15,93314.1172752345415,312.8636442345415,-0.0235657486882226284426021849,-0.0677826793277084334520630374
2016-01-19,93864.0748172345415,312.8636442345415,0.005893615650650944900607729,-0.0622885487367863252429432713
2016-01-20,92793.5352112345415,312.8636442345415,-0.0114052112918012420730234789,-0.0729833459691848599263360486
2016-01-21,92123.9443212345415,312.8636442345415,-0.0072159217608828899054231538,-0.0796726256157066642521340032
2016-01-22,94777.0668232345415,312.8636442345415,0.028799488792496871630983133,-0.0531676677116981358648742953
2016-01-25,92949.8541772345415,312.8636442345415,-0.0192790588192381145497052988,-0.0714217039378407149236119772
2016-01-26,93881.2360792345415,312.8636442345415,0.010020262110622179558389147,-0.0621171060210629556004026566
2016-01-27,91739.2831192345415,312.8636442345415,-0.0228155598440589296959211232,-0.0835154293153585701661619567
2016-01-28,94256.4239902345415,312.8636442345415,0.027437982785721627046720967,-0.0583689414415339028963748315
2016-01-29,95158.8074942345415,312.8636442345415,0.009573708250309725845418316,-0.0493540404074648354395043895
2016-02-01,95790.4322622345415,312.8636442345415,0.006637585995792020897266079,-0.0430440460991171566587737713
2016-02-02,93666.5845389800305,310.3797039800305,-0.0221718147950339686640243020,-0.0642614962760125953636125528
2016-02-03,92018.5690039800305,310.3797039800305,-0.0175944873309025840182050588,-0.0807253355248220321902474410
2016-02-04,92287.1375909800305,310.3797039800305,0.002918634683271196544495522,-0.0780423086056322856683524906
2016-02-05,88628.8069139800305,310.3797039800305,-0.0396407427133979967565078882,-0.1145893962428348066202996711
2016-02-08,86688.0309189800305,310.3797039800305,-0.0218978012068203534763561694,-0.1339779416303199963898257015
2016-02-09,86909.7188939800305,310.3797039800305,0.002557307769595008998355271,-0.1317632566918105513250453416
2016-02-10,87556.3884459800305,310.3797039800305,0.007440704678712208045403709,-0.1253029634936474557046801581
2016-02-11,88077.3403599800305,310.3797039800305,0.005949901808951536577454389,-0.1200986020138537604734652829
2016-02-12,89100.1532559800305,310.3797039800305,0.011612667819210610632135302,-0.1098805993653816120402410294
2016-02-16,91803.9389159800305,310.3797039800305,0.030345465874027923611193159,-0.0828695114696136104573364625
2016-02-17,93732.9591579800305,310.3797039800305,0.021012390805643540356283086,-0.0635984072248423510412661255
2016-02-18,92184.8233499800305,310.3797039800305,-0.0165164507971068170302968429,-0.0790644380582456966715167278
2016-02-19,92745.1169139800305,310.3797039800305,0.006077937166217082883483562,-0.0734670495786288937167872315
2016-02-22,94136.8577529800305,310.3797039800305,0.015006082102315130237591305,-0.0595634200541055248516883132
2016-02-23,92422.0615959800305,310.3797039800305,-0.0182159910361541230764581592,-0.0766944043644713789549069345
2016-02-24,94020.3051009800305,310.3797039800305,0.017292878749953321157488771,-0.0607277926499927521555078493
2016-02-25,95508.2960429800305,310.3797039800305,0.015826272212176535157093045,-0.0458626150151396157242703016
2016-02-26,95070.6904199800305,310.3797039800305,-0.0045818598083152014950815214,-0.0502343387510127157377351038
2016-02-29,94557.3488999800305,310.3797039800305,-0.0053995770697812907168986877,-0.0553626716371584124716731913
2016-03-01,96778.5295149800305,310.3797039800305,0.023490301291647878355139074,-0.0331728561825779537332253591
2016-03-02,96769.3125854044535,403.5654214044535,-0.0000952373385064746387207111,-0.0332649342265509415953046254
2016-03-03,96704.8059544044535,403.5654214044535,-0.0006666021414905599169578585,-0.0339093618916495400321777024
2016-03-04,96267.1191134044535,403.5654214044535,-0.0045260091955136734645170716,-0.0382818970034276067453891704
2016-03-07,94556.1187784044535,403.5654214044535,-0.0177734656522172419111169476,-0.0553749606741527099292821733
2016-03-08,94770.2246714044535,403.5654214044535,0.002264326156425313861362181,-0.0532360214895929031804982494
2016-03-09,95521.7693724044535,403.5654214044535,0.007930177475106986411341435,-0.0457280151129669978877719245
2016-03-10,95914.5243484044535,403.5654214044535,0.004111680285870668393647630,-0.0418043538053483118846581847
2016-03-11,97508.4206264044535,403.5654214044535,0.016617882315823782782137360,-0.0258811713213508674738872149
2016-03-14,97894.7302344044535,403.5654214044535,0.003961807662541409616458106,-0.0220218998816659327034160812
2016-03-15,98568.9726634044535,403.5654214044535,0.006887423126715374218397880,-0.0152861508974897549927415523
2016-03-16,99314.2695044044535,403.5654214044535,0.007561170831566404047153390,-0.0078405612642163730898943520
2016-03-17,99450.9147644044535,403.5654214044535,0.001375887480035685784034797,-0.0064754615142605753821809358
2016-03-18,98941.6520784044535,403.5654214044535,-0.0051207441098598691329194096,-0.0115630464427126704047435718
2016-03-21,98792.6586374044535,403.5654214044535,-0.0015058717726072831958339415,-0.0130515057500765255313109633
2016-03-22,99119.2209504044535,403.5654214044535,0.003305532187351807687919090,-0.0097891157350750029963105459
2016-03-23,99251.0605924044535,403.5654214044535,0.001330111765769099617211464,-0.0084720245873216020689065698
2016-03-24,99293.8798094044535,403.5654214044535,0.000431423268874135290599761,-0.0080442563469889111109129787
2016-03-28,99775.0050514044535,403.5654214044535,0.004845467242528184789812901,-0.0032377672850805605290730917
2016-03-29,101058.8664464044535,403.5654214044535,0.012867565321981691073310191,0
2016-03-30,101373.1705574044535,403.5654214044535,0.003110109207158859263797113,0
2016-03-31,101027.2930854044535,403.5654214044535,-0.0034119231952416878743392672,-0.0034119231952416878743392672
2016-04-01,101829.1886274044535,403.5654214044535,0.007937414905515774017538718,0
2016-04-04,101319.0940412160310,59.6708762160310,-0.0050093160228829018871716766,-0.0050093160228829018871716766
2016-04-05,100048.1753322160310,59.6708762160310,-0.0125437235797133904502057818,-0.0174902041270818199792066120
2016-04-06,100739.8910612160310,59.6708762160310,0.006913826531099802578263177,-0.0106973018333101869509896716
2016-04-07,99779.6637882160310,59.6708762160310,-0.0095317481772588398780055198,-0.0201270860233177848083480442
2016-04-08,99737.8651902160310,59.6708762160310,-0.0004189089881954123253992775,-0.0205375635942718470554275270
2016-04-11,99263.2138252160310,59.6708762160310,-0.0047589886157555515544351678,-0.0251988141786869032224129307
2016-04-12,100216.7526272160310,59.6708762160310,0.009606164915020821617924712,-0.0158347132283295129550743467
2016-04-13,100041.4713292160310,59.6708762160310,-0.0017490219290182683983731379,-0.0175560398966717173764017905
2016-04-14,99581.9030902160310,59.6708762160310,-0.0045937772894968215076917295,-0.0220691686487977082239106182
2016-04-15,100348.6935692160310,59.6708762160310,0.007700098664566870751349034,-0.0145390047602715457570763731
2016-04-18,100836.2471382160310,59.6708762160310,0.004858594084871741765179044,-0.0097510497979279814200198610
2016-04-19,98692.3888662160310,59.6708762160310,-0.0212607899722945658033548705,-0.0308045247484594150438044909
2016-04-20,98059.6485252160310,59.6708762160310,-0.0064112374649044192684038829,-0.0370182670902079359284594782
2016-04-21,96418.3365382160310,59.6708762160310,-0.0167378938399716653079433122,-0.0531365531054839840025051871
2016-04-22,95539.7749212160310,59.6708762160310,-0.0091119765030563084179317751,-0.0617643505851897186425235894
2016-04-25,96022.4150202160310,59.6708762160310,0.005051719029043081537305695,-0.0570246477013143281956333845
2016-04-26,95669.9808972160310,59.6708762160310,-0.0036703317962352900479228906,-0.0604856801199223686216990344
2016-04-27,95218.3221792160310,59.6708762160310,-0.0047210077159442930246257603,-0.0649211344733163698130336919
2016-04-28,94346.8580842160310,59.6708762160310,-0.0091522731660800106154710085,-0.0734792316824447750941100536
2016-04-29,95213.1726822160310,59.6708762160310,0.009182230501271266409908356,-0.0649717044235380310917002409
2016-05-02,96913.0455502160310,59.6708762160310,0.017853337097310099335499959,-0.0482783290670881499690481125
2016-05-03,96305.0238382852795,104.2661542852795,-0.0062738892218148451886880374,-0.0542493254005217604636302929
2016-05-04,96589.0462792852795,104.2661542852795,0.002949196518313816012949562,-0.0514601208038000364890256945
2016-05-05,96498.9535252852795,104.2661542852795,-0.0009327429710766438113613744,-0.0523448647089061808464708667
2016-05-06,97692.3155492852795,104.2661542852795,0.012366579951432401486809236,-0.0406256117119433799841845371
2016-05-09,98645.0786312852795,104.2661542852795,0.009752692180986700432774632,-0.0312691286166475514746423389
2016-05-10,99599.0542052852795,104.2661542852795,0.009670787303700792187504723,-0.0219007384049704215434092530
2016-05-11,98935.0922762852795,104.2661542852795,-0.0066663477308880558526234062,-0.0284210881980877299267423016
2016-05-12,99726.1568842852795,104.2661542852795,0.007995793906886747986360571,-0.0206525434550423426749131808
2016-05-13,99094.2927932852795,104.2661542852795,-0.0063359915867726407581688686,-0.0268576807002383787837868514
2016-05-16,99568.7544462852795,104.2661542852795,0.004787981624630454584247554,-0.0221982931572808575574953423
2016-05-17,97212.0349212852795,104.2661542852795,-0.0236692679154823425105689321,-0.0453421437247571010371831366
2016-05-18,95723.9956682852795,104.2661542852795,-0.0153071505416474212944642130,-0.0599552352465286514480283754
2016-05-19,95073.5436762852795,104.2661542852795,-0.0067950777384390358378068220,-0.0663429125006411250076641735
2016-05-20,94922.9249602852795,104.2661542852795,-0.0015842337434359213901085669,-0.0678220435634557139237609872
2016-05-23,94845.4394792852795,104.2661542852795,-0.0008162989186481462028120537,-0.0685829794212825037629535498
2016-05-24,95948.7909982852795,104.2661542852795,0.011633153107387704341369442,-0.0577476626140633989610245322
2016-05-25,95713.3906442852795,104.2661542852795,-0.0024533957286049272674050818,-0.0600593804738740646369533208
2016-05-26,96126.1754782852795,104.2661542852795,0.004312717700432295533283078,-0.0560056819266884435717115803
2016-05-27,96364.3396522852795,104.2661542852795,0.002477620406876593510582573,-0.0536668223402544529622593464
2016-05-31,95911.1157692852795,104.2661542852795,-0.0047032323848778825668744409,-0.0581176471883081629514094273
2016-06-01,96320.1161812852795,104.2661542852795,0.004264369241453230068250681,-0.0541011130539103850132796782
2016-06-02,96495.0229556975325,406.0104456975325,0.001815890401160426354597258,-0.0523834643446366495666891424
2016-06-03,96413.9486686975325,406.0104456975325,-0.0008401913851787210987623711,-0.0531796435943471902512256644
2016-06-06,95980.1550836975325,406.0104456975325,-0.0044992824273863460376722669,-0.0574396557858148211146762666
2016-06-07,96535.7900086975325,406.0104456975325,0.005789060504387286312358828,-0.0519831169241227960591626850
2016-06-08,96768.5848666975325,406.0104456975325,0.002411487573458776361145396,-0.0496969859911561964298634174
2016-06-09,97309.7471116975325,406.0104456975325,0.005592333976418813173104832,-0.0443825741580213358419729434
2016-06-10,96326.7885836975325,406.0104456975325,-0.0101013367846049954914397015,-0.0540355876136884513277512149
2016-06-13,95508.1241056975325,406.0104456975325,-0.0084988245745228945732169962,-0.0620751732083013455565201269
2016-06-14,95641.2048426975325,406.0104456975325,0.001393397035551880084560676,-0.0607682715350792820560837327
2016-06-15,95243.8322856975325,406.0104456975325,-0.0041548259210406682915868458,-0.0646706158663691651440078744
2016-06-16,96155.1086956975325,406.0104456975325,0.009567825948734357255356154,-0.0557215471142416866234334751
2016-06-17,95519.4267916975325,406.0104456975325,-0.0066110049962269309372493486,-0.0619641766840988714447522200
2016-06-20,96110.0031336975325,406.0104456975325,0.006182787751520849729035434,-0.0561645002852135420391941407
2016-06-21,96709.4078296975325,406.0104456975325,0.006236652548706870222218757,-0.0502781262103572965934556435
2016-06-22,96512.2909766975325,406.0104456975325,-0.0020382386514776005215594732,-0.0522138860416690778572773651
2016-06-23,97695.2892476975325,406.0104456975325,0.012257488233137370256647581,-0.0405964089022938419050714342
2016-06-24,95770.1856146975325,406.0104456975325,-0.0197051838202666516525789375,-0.0595016330226980838837343531
2016-06-27,94849.9465716975325,406.0104456975325,-0.0096088259315096698380502445,-0.0685387181198520802741121541
2016-06-28,96253.1740186975325,406.0104456975325,0.014794182787855274106631213,-0.0547585096559071862073679581
2016-06-29,97404.5191346975325,406.0104456975325,0.011961632722639847527681300,-0.0434518781142104281358425028
2016-06-30,99387.5558116975325,406.0104456975325,0.020358774876325022039645069,-0.0239777302423661304371577174
2016-07-01,99125.7073316975325,406.0104456975325,-0.0026346203793974521152962690,-0.0265491784050153501364200468
2016-07-05,99249.6498429918100,639.1633209918100,0.001250356891573416009236916,-0.0253320174616262571831165038
2016-07-06,99857.9702759918100,639.1633209918100,0.006129194752448333815176285,-0.0193580875776726525848870621
2016-07-07,98913.7146019918100,639.1633209918100,-0.0094559870523126498375209018,-0.0286310248044932954723349027
2016-07-08,100551.4701339918100,639.1633209918100,0.016557416113528717614361157,-0.0125476644824093355503592002
2016-07-11,100595.9203069918100,639.1633209918100,0.000442063879730122897450813,-0.0121111474719218583881957287
2016-07-12,100541.1215259918100,639.1633209918100,-0.0005447415842786545921547144,-0.0126492916105392258448285198
2016-07-13,100638.1323559918100,639.1633209918100,0.000964887088263888503873430,-0.0116966096604260313673284443
2016-07-14,100474.4244579918100,639.1633209918100,-0.0016266984905970697072167553,-0.0133042812937433829452578946
2016-07-15,100308.6481399918100,639.1633209918100,-0.0016499354825297934723463208,-0.0149322655704970718240964362
2016-07-18,100367.6285249918100,639.1633209918100,0.000587989032786947253441258,-0.0143530565461002389770542215
2016-07-19,100492.0707929918100,639.1633209918100,0.001239864584117512947792785,-0.0131309878084680717488675916
2016-07-20,100782.4011849918100,639.1633209918100,0.002889087563914020513691580,-0.0102798368181334029595702307
2016-07-21,99890.3217399918100,639.1633209918100,-0.0088515398969561919166309658,-0.0190403843293596878667845317
2016-07-22,101304.8315249918100,639.1633209918100,0.014160628981473095168662716,-0.0051493791660393096571370201
2016-07-25,101422.4876569918100,639.1633209918100,0.001161406916421102176277920,-0.0039939527741969202621960645
2016-07-26,100887.7774579918100,639.1633209918100,-0.0052721069198023997601783965,-0.0092450031479411124476434664
2016-07-27,99800.8889739918100,639.1633209918100,-0.0107732424222801856705705136,-0.0199186469101137850662287227
2016-07-28,101255.5616509918100,639.1633209918100,0.014575748692770550785312425,-0.0056332274090050834541854997
2016-07-29,100830.7793299918100,639.1633209918100,-0.0041951505090075139371236825,-0.0098047456811803546365562138
2016-08-01,101176.3140729918100,639.1633209918100,0.003426877638911809312580691,-0.0064114677059985994171440320
2016-08-02,100409.5282013087430,609.1996443087430,-0.0075787092928675311422175235,-0.0139415863489817589019175845
2016-08-03,99281.8974323087430,609.1996443087430,-0.0112303163773386040275545558,-0.0250153343008193127679134049
2016-08-04,99265.5695443087430,609.1996443087430,-0.0001644598705532647113619859,-0.0251756801527316180924925240
2016-08-05,98275.3464423087430,609.1996443087430,-0.0099754940866782454334818872,-0.0349000343909181864028491506
2016-08-08,98094.2729453087430,609.1996443087430,-0.0018425119173331719420437839,-0.0366782425789707540376382405
2016-08-09,98605.0816983087430,609.1996443087430,0.005207324930017016855102924,-0.0316619131759244232321158044
2016-08-10,98949.6911093087430,609.1996443087430,0.003494844333219701393366100,-0.0282777223005464955077601447
2016-08-11,98900.1241043087430,609.1996443087430,-0.0005009313767866523289516049,-0.0287644884789687444590598978
2016-08-12,99294.0756903087430,609.1996443087430,0.003983327519230452264263725,-0.0248957393382731556888411908
2016-08-15,98753.9468453087430,609.1996443087430,-0.0054396885337310956969846814,-0.0302000028041870887249000953
2016-08-16,97594.1987423087430,609.1996443087430,-0.0117438152099041219769756390,-0.0415891547618202512341868287
2016-08-17,97949.7065513087430,609.1996443087430,0.003642714562765105481025009,-0.0380979376187591201142185568
2016-08-18,98486.1878163087430,609.1996443087430,0.005477109466570748713747849,-0.0328294947269768988253144775
2016-08-19,98366.6570303087430,609.1996443087430,-0.0012136807064046639164886823,-0.0340033309090304172300785985
2016-08-22,98569.1908083087430,609.1996443087430,0.002058967785573878703042253,-0.0320143748864004407091393768
2016-08-23,98508.8871843087430,609.1996443087430,-0.0006117897844700252516510785,-0.0326065786033587724460190737
2016-08-24,97230.0483053087430,609.1996443087430,-0.0129819645267874200669551853,-0.0451652456833774832303220968
2016-08-25,97289.8941363087430,609.1996443087430,0.000615507572433576878963622,-0.0445775376616728481130820648
2016-08-26,96125.7995403087430,609.1996443087430,-0.0119652159798738854629636802,-0.0560093737755738556557954036
2016-08-29,97104.7572553087430,609.1996443087430,0.010184130791957579392914131,-0.0463956497717223593120975629
2016-08-30,95394.5036903087430,609.1996443087430,-0.0176124590940831581253090429,-0.0631909673820576487708396061
2016-08-31,95217.5697903087430,609.1996443087430,-0.0018547598986876950946543518,-0.0649285232084858211755345314
2016-09-01,95448.6055103087430,609.1996443087430,0.002426397990505265410693879,-0.0626596676562201002492291515
2016-09-02,96037.3580903188085,517.6533283188085,0.006168268010437076635187539,-0.0568779012693315048126290756
2016-09-06,96963.2436633188085,517.6533283188085,0.009640889664303825732483327,-0.0477853651755024706350986598
2016-09-07,96753.7734493188085,517.6533283188085,-0.0021603053495955042418510504,-0.0498424395450769621782135779
2016-09-08,95954.2642313188085,517.6533283188085,-0.0082633388807186508363221368,-0.0576939134571929097295127879
2016-09-09,92416.3109283188085,517.6533283188085,-0.0368712462269627460731589479,-0.0924379131952784165286273941
2016-09-12,93879.7029503188085,517.6533283188085,0.015834780757858382292110338,-0.0780668665265812123576284556
2016-09-13,92096.8694703188085,517.6533283188085,-0.0189906169701397167649397128,-0.0955749455364556037450461414
2016-09-14,91958.2965773188085,517.6533283188085,-0.0015046428157328365168032724,-0.0969357821970229552069273445
2016-09-15,92799.0831593188085,517.6533283188085,0.009143129149777846832749439,-0.0886789494231072254081145277
2016-09-16,92505.7936713188085,517.6533283188085,-0.0031604782936968931466499289,-0.0915591598220445435441455735
2016-09-19,93248.5779173188085,517.6533283188085,0.008029597028691819224375144,-0.0842647459510093325824286443
2016-09-20,93230.0793113188085,517.6533283188085,-0.0001983794971801312959005567,-0.0844464090502576911424023066
2016-09-21,95501.2348783188085,517.6533283188085,0.024360759786721164196838802,-0.0621428279492610506876411974
2016-09-22,96204.4700333188085,517.6533283188085,0.007363623683987065754962914,-0.0552368006649510969852565297
2016-09-23,95349.3382033188085,517.6533283188085,-0.0088886912396465507140218014,-0.0636345090384209941162318380
2016-09-26,95174.6722033188085,517.6533283188085,-0.0018318533016721077744371543,-0.0653497932546107868085222574
2016-09-27,95496.8653393188085,517.6533283188085,0.003385282329228394192786692,-0.0621857384257059554233704062
2016-09-28,96122.6228343188085,517.6533283188085,0.006552649584638854379380140,-0.0560405701941327636190297868
2016-09-29,94951.7296493188085,517.6533283188085,-0.0121812446484965680484594150,-0.0675391709468533556630775927
2016-09-30,95528.3375283188085,517.6533283188085,0.006072642184924502133478640,-0.0618766699805555425468942579
2016-10-03,94455.8024573188085,517.6533283188085,-0.0112274022426283022662101554,-0.0724093579598777841663335654
2016-10-04,91987.8193792175965,360.2648392175965,-0.0261284432919449823290675467,-0.0966458574485619547947891168
